datetime,species,treatment ,pot,height_cm,leaves
23/07/2018,corn,Tap ,1,53,6
23/07/2018,corn,Solari ,2,48.5,6
23/07/2018,corn,Cashido ,3,51.5,6
23/07/2018,corn,Tap ,4,50,6
23/07/2018,corn,Solari ,5,48.5,6
23/07/2018,corn,Cashido ,6,45,6
23/07/2018,corn,Tap ,7,50,6
23/07/2018,corn,Solari ,8,47,6
23/07/2018,corn,Cashido ,9,53,6
23/07/2018,corn,Tap ,10,48,6
23/07/2018,corn,Solari ,11,52.5,6
23/07/2018,corn,Cashido ,12,53,6
23/07/2018,corn,Tap ,13,47.5,6
23/07/2018,corn,Solari ,14,51,6
23/07/2018,corn,Cashido ,15,59,6
23/07/2018,corn,Solari ,16,53.5,6
23/07/2018,corn,Tap ,17,43,6
23/07/2018,corn,Cashido ,18,50.5,6
23/07/2018,corn,Solari ,19,46,6
23/07/2018,corn,Tap ,20,50.5,6
23/07/2018,corn,Cashido ,21,47,6
23/07/2018,corn,Solari ,22,48,6
23/07/2018,corn,Tap ,23,44.5,6
23/07/2018,corn,Cashido ,24,41,6
23/07/2018,corn,Solari ,25,60.5,6
23/07/2018,corn,Tap ,26,48,5
23/07/2018,corn,Cashido ,27,53,6
23/07/2018,corn,Solari ,28,49,6
23/07/2018,corn,Tap ,29,48,6
23/07/2018,corn,Cashido ,30,49,6
27/07/2018,corn,Tap ,1,75,7
27/07/2018,corn,Solari ,2,72,7
27/07/2018,corn,Cashido ,3,74,7
27/07/2018,corn,Tap ,4,71,7
27/07/2018,corn,Solari ,5,68,7
27/07/2018,corn,Cashido ,6,66,7
27/07/2018,corn,Tap ,7,71,7
27/07/2018,corn,Solari ,8,66,7
27/07/2018,corn,Cashido ,9,71,8
27/07/2018,corn,Tap ,10,67,7
27/07/2018,corn,Solari ,11,69,8
27/07/2018,corn,Cashido ,12,70,8
27/07/2018,corn,Tap ,13,69,7
27/07/2018,corn,Solari ,14,72,7
27/07/2018,corn,Cashido ,15,81,7
